[1623: 7] (1 => 10000, p=0, len=3, bloom=0) 
[   0:12] (0 => 10000, p=0, len=0, bloom=0) 
[1622:11] (2 => 10000, p=0, len=2, bloom=0) 
[   0:16] (0 => 10000, p=0, len=0, bloom=0) 
[1628:15] (2 => 10000, p=0, len=2, bloom=0) 
[   0:20] (0 => 10000, p=0, len=0, bloom=0) 
[1627:19] (3 => 10000, p=0, len=3, bloom=0) 
[   0:24] (0 => 10000, p=0, len=0, bloom=0) 
[1633:23] (3 => 10000, p=0, len=3, bloom=0) 
[1632:26] (4 => 10000, p=0, len=1, bloom=0) 
[1632:25] (4 => 10000, p=0, len=1, bloom=0) 
[   0:29] (0 => 10000, p=0, len=0, bloom=0) 
[   0:34] (0 => 10000, p=0, len=0, bloom=0) 
[   0:38] (0 => 10000, p=0, len=0, bloom=0) 
[   0:42] (0 => 10000, p=0, len=0, bloom=0) 
[   0:46] (0 => 10000, p=0, len=0, bloom=0) 
[   0:50] (0 => 10000, p=0, len=0, bloom=0) 
[   0:27] (0 => 10000, p=0, len=0, bloom=0) 
[   0:29] (0 => 10000, p=0, len=0, bloom=0) 
[   0:32] (0 => 10000, p=0, len=0, bloom=0) 
[   0:34] (0 => 10000, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0:36] (0 => 10000, p=0, len=0, bloom=0) 
[   0:38] (0 => 10000, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0: 0] (0 => 0, p=0, len=0, bloom=0) 
[   0:40] (0 => 10000, p=0, len=0, bloom=0) 
[   0:42] (0 => 10000, p=0, len=0, bloom=0) 
[   0:44] (0 => 10000, p=0, len=0, bloom=0) 
[   0:46] (0 => 10000, p=0, len=0, bloom=0) 
[   0:48] (0 => 10000, p=0, len=0, bloom=0) 
[   0:50] (0 => 10000, p=0, len=0, bloom=0) 
